Query,Model,Evaluator,Dimension,Score
Query 1,Autonomous RAG,Eval_1,Relevance,1
Query 1,Autonomous RAG,Eval_1,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_1,Traceability,2
Query 1,Autonomous RAG,Eval_1,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_2,Relevance,2
Query 1,Autonomous RAG,Eval_2,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_2,Traceability,1
Query 1,Autonomous RAG,Eval_2,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_3,Relevance,2
Query 1,Autonomous RAG,Eval_3,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_3,Traceability,1
Query 1,Autonomous RAG,Eval_3,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_4,Relevance,2
Query 1,Autonomous RAG,Eval_4,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_4,Traceability,2
Query 1,Autonomous RAG,Eval_4,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_5,Relevance,2
Query 1,Autonomous RAG,Eval_5,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_5,Traceability,2
Query 1,Autonomous RAG,Eval_5,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_6,Relevance,2
Query 1,Autonomous RAG,Eval_6,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_6,Traceability,2
Query 1,Autonomous RAG,Eval_6,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_7,Relevance,1
Query 1,Autonomous RAG,Eval_7,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_7,Traceability,2
Query 1,Autonomous RAG,Eval_7,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_8,Relevance,2
Query 1,Autonomous RAG,Eval_8,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_8,Traceability,1
Query 1,Autonomous RAG,Eval_8,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_9,Relevance,2
Query 1,Autonomous RAG,Eval_9,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_9,Traceability,1
Query 1,Autonomous RAG,Eval_9,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_10,Relevance,1
Query 1,Autonomous RAG,Eval_10,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_10,Traceability,2
Query 1,Autonomous RAG,Eval_10,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_11,Relevance,1
Query 1,Autonomous RAG,Eval_11,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_11,Traceability,2
Query 1,Autonomous RAG,Eval_11,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_12,Relevance,1
Query 1,Autonomous RAG,Eval_12,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_12,Traceability,2
Query 1,Autonomous RAG,Eval_12,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_13,Relevance,1
Query 1,Autonomous RAG,Eval_13,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_13,Traceability,2
Query 1,Autonomous RAG,Eval_13,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_14,Relevance,1
Query 1,Autonomous RAG,Eval_14,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_14,Traceability,1
Query 1,Autonomous RAG,Eval_14,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_15,Relevance,2
Query 1,Autonomous RAG,Eval_15,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_15,Traceability,1
Query 1,Autonomous RAG,Eval_15,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_16,Relevance,2
Query 1,Autonomous RAG,Eval_16,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_16,Traceability,2
Query 1,Autonomous RAG,Eval_16,Semantic Consistency,3
Query 1,Autonomous RAG,Eval_17,Relevance,1
Query 1,Autonomous RAG,Eval_17,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_17,Traceability,2
Query 1,Autonomous RAG,Eval_17,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_18,Relevance,2
Query 1,Autonomous RAG,Eval_18,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_18,Traceability,1
Query 1,Autonomous RAG,Eval_18,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_19,Relevance,1
Query 1,Autonomous RAG,Eval_19,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_19,Traceability,2
Query 1,Autonomous RAG,Eval_19,Semantic Consistency,4
Query 1,Autonomous RAG,Eval_20,Relevance,2
Query 1,Autonomous RAG,Eval_20,Hallucination Risk,1
Query 1,Autonomous RAG,Eval_20,Traceability,2
Query 1,Autonomous RAG,Eval_20,Semantic Consistency,3
Query 1,At Source RAG,Eval_1,Relevance,5
Query 1,At Source RAG,Eval_1,Hallucination Risk,1
Query 1,At Source RAG,Eval_1,Traceability,4
